L16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
3,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2
4,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1
5,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2
6,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1
7,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1
8,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2
9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
10,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1
11,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1
12,2,1,2,2,1,2,1,2,1,2,1,1,2,1,2
13,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1
14,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2
15,2,2,1,2,1,1,2,1,2,2,1,2,1,1,2
16,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1
component,a,b,a,,a,,a,,a,,a,,a,,a
,, ,b,,,b,b,,,b,b,,,b,b
,,,,c,c,c,c,,,,,c,c,c,c
,,,,,,,,d,d,d,d,d,d,d,d
